id,features
13,"Economic,Negotiation,Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building,Race,Random Production,Trading,Variable Setup"
822,"City Building,Medieval,Territory Building,Area Majority / Influence,Map Addition,Tile Placement"
30549,"Medical,Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers"
68448,"Ancient,Card Game,City Building,Civilization,Economic,Card Drafting,Drafting,Hand Management,Set Collection,Simultaneous Action Selection,Trading,Variable Player Powers"
36218,"Card Game,Medieval,Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Take That,Variable Setup"
9209,"Trains,Card Drafting,Connections,Hand Management,Map Reduction,Network and Route Building,Set Collection"
178900,"Card Game,Deduction,Party Game,Spies/Secret Agents,Word Game,Communication Limits,Memory,Push Your Luck,Team-Based Game"
31260,"Animals,Economic,Farming,Advantage Token,Automatic Resource Growth,Card Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement"
3076,"City Building,Economic,Farming,Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources,Turn Order: Progressive,Variable Phase Order"
40692,"Fantasy,Fighting,Territory Building,Area Majority / Influence,Area Movement,Dice Rolling,Increase Value of Unchosen Resources,Variable Player Powers,Victory Points as a Resource"
167791,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,Territory Building,Card Drafting,End Game Bonuses,Hand Management,Hexagon Grid,Income,Set Collection,Solo / Solitaire Game,Take That,Tile Placement,Turn Order: Progressive,Variable Player Powers"
70323,"Dice,Fighting,Movies / TV / Radio theme,Science Fiction,Card Drafting,Dice Rolling,King of the Hill,Player Elimination,Push Your Luck,Re-rolling and Locking"
2651,"Economic,Industry / Manufacturing,Auction/Bidding,Auction: Turn Order Until Pass,Catch the Leader,Income,Market,Network and Route Building,Turn Order: Stat-Based"
14996,"Trains,Card Drafting,Connections,Hand Management,Network and Route Building,Push Your Luck,Set Collection"
148228,"Card Game,Economic,Renaissance,Card Drafting,Contracts,Set Collection"
129622,"Card Game,Deduction,Renaissance,Hand Management,Player Elimination"
173346,"Ancient,Card Game,City Building,Civilization,Card Drafting,Drafting,Set Collection,Sudden Death Ending,Tug of War"
169786,"Economic,Fighting,Science Fiction,Territory Building,Area Majority / Influence,Force Commitment,Grid Movement,Hexagon Grid,King of the Hill,Movement Points,Moving Multiple Units,Narrative Choice / Paragraph,Race,Solo / Solitaire Game,Tech Trees / Tech Tracks,Variable Player Powers"
39856,"Card Game,Humor,Party Game,Communication Limits,Simultaneous Action Selection,Storytelling,Targeted Clues,Voting"
478,"Bluffing,Card Game,City Building,Deduction,Fantasy,Medieval,Action Drafting,Card Drafting,Lose a Turn,Set Collection,Turn Order: Role Order,Variable Player Powers"
230802,"Abstract Strategy,Renaissance,Drafting,End Game Bonuses,Pattern Building,Set Collection,Tile Placement,Turn Order: Claim Action"
