game_id,name,rank,bggRating,avgRating,numRatings,id
,Catan,369,7.004,7.16,94677,13
,Carcassonne,167,7.313,7.42,94647,822
,Pandemic,87,7.522,7.62,94442,30549
,7 Wonders,50,7.665,7.76,78407,68448
,Dominion,86,7.524,7.63,74076,36218
,Ticket to Ride,159,7.326,7.43,66937,9209
,Codenames,78,7.559,7.65,61079,178900
,Agricola,29,7.855,7.96,60995,31260
,Puerto Rico,24,7.890,8.01,60500,3076
,Small World,233,7.186,7.27,58456,40692
,Terraforming Mars,4,8.277,8.43,54710,167791
,King of Tokyo,298,7.105,7.20,54081,70323
,Power Grid,36,7.774,7.87,53817,2651
,Ticket to Ride: Europe,112,7.436,7.55,53779,14996
,Splendor,151,7.345,7.46,53257,148228
,Love Letter,261,7.146,7.24,52258,129622
,7 Wonders Duel,16,7.977,8.10,51693,173346
,Scythe,11,8.096,8.25,50812,169786
,Dixit,250,7.166,7.27,46985,39856
,Citadels,387,6.986,7.09,46498,478
,Azul,43,7.729,7.85,44008,230802
,Race for the Galaxy,51,7.659,7.76,43982,28143
,Lords of Waterdeep,57,7.631,7.76,43016,110327
,The Castles of Burgundy,14,8.011,8.13,42558,84876
,Stone Age,97,7.470,7.58,42329,34635
,Patchwork,77,7.565,7.67,41085,163412
,Munchkin,4092,5.740,5.91,39456,1927
,Forbidden Island,690,6.709,6.80,39262,65244
,Twilight Struggle,9,8.151,8.30,38206,12333
,Pandemic Legacy: Season 1,2,8.472,8.62,37348,161936
,Dead of Winter: A Crossroads Game,103,7.459,7.61,37094,150376
,Terra Mystica,15,8.011,8.16,36612,120677
,Bohnanza,439,6.939,7.04,36420,11
,Hanabi,357,7.016,7.11,36107,98778
,Arkham Horror,306,7.083,7.27,35907,15987
,Gloomhaven,1,8.574,8.83,35428,174430
,Lost Cities,309,7.074,7.17,35010,50
,Betrayal at House on the Hill,502,6.869,7.07,34501,10547
,The Resistance,238,7.178,7.30,34401,41114
,Jaipur,127,7.398,7.51,33332,54043
,Coup,482,6.892,7.02,33294,131357
,Star Realms,106,7.455,7.59,33264,147020
,Takenoko,256,7.157,7.28,32258,70919
,Battlestar Galactica: The Board Game,71,7.578,7.74,31717,37111
,Sushi Go!,427,6.946,7.06,31285,133473
,Robinson Crusoe: Adventures on the Cursed Island,47,7.697,7.87,31074,121921
,Blood Rage,32,7.825,8.01,30712,170216
,Magic: The Gathering,150,7.346,7.50,30684,463
,Five Tribes,56,7.633,7.78,29695,157354
,Wingspan,19,7.930,8.13,29543,266192
,Dominion: Intrigue,70,7.586,7.73,28959,40834
,Mysterium,228,7.201,7.34,28729,181304
,Risk,18258,5.453,5.58,28543,181
,Tzolk'in: The Mayan Calendar,38,7.762,7.91,28116,126163
,Galaxy Trucker,172,7.302,7.42,27926,31481
,Hive,230,7.191,7.32,27570,2655
,Sheriff of Nottingham,338,7.041,7.16,27522,157969
,Eldritch Horror,67,7.594,7.83,27193,146021
,Kingdomino,211,7.231,7.36,27177,204583
,Alhambra,458,6.917,7.02,27167,6249
,A Game of Thrones: The Board Game (Second Edition),115,7.423,7.62,26955,103343
,Chess,448,6.929,7.11,26585,171
,Caverna: The Cave Farmers,27,7.867,8.04,26376,102794
,Monopoly,19009,4.299,4.36,26227,1406
,Mage Knight Board Game,25,7.888,8.10,26212,96848
,Cosmic Encounter,135,7.382,7.54,26035,39463
,Caylus,58,7.628,7.79,25947,18602
,Android: Netrunner,49,7.684,7.88,25779,124742
,The Resistance: Avalon,116,7.423,7.60,25432,128882
,Eclipse,42,7.732,7.91,25356,72125
,Great Western Trail,10,8.104,8.29,25337,193738
,BANG!,1213,6.372,6.51,25232,3955
,Le Havre,44,7.728,7.87,25118,35677
,Scrabble,1751,6.165,6.28,25098,320
,Concordia,17,7.953,8.11,24889,124361
,Shadows over Camelot,385,6.989,7.12,24702,15062
,Memoir '44,129,7.394,7.56,24446,10630
,Tigris & Euphrates,83,7.540,7.70,24424,42
,Viticulture Essential Edition,22,7.917,8.10,24376,183394
,Roll for the Galaxy,81,7.544,7.69,24331,132531
